Party Level,HP Medium Armor,HP Heavy Armor,HP Last Stand,Save DC,Attack Dmg Small,Attack Dmg Big
1,50,35,10,10,8,16
2,75,55,20,11,9,18
3,100,75,30,11,10,20
4,125,95,40,12,11,22
5,150,115,50,12,12,24
6,175,135,60,13,13,26
7,200,155,70,13,14,28
8,225,175,80,14,15,30
9,250,195,90,14,16,32
10,275,215,100,15,17,34
11,300,235,110,15,18,36
12,325,255,120,16,19,38
13,350,275,130,16,20,40
14,375,295,140,17,21,42
15,400,315,150,17,22,44
16,425,335,160,18,23,46
17,450,355,170,18,24,48
18,475,375,180,19,25,50
19,500,395,190,19,26,52
20,525,415,200,20,27,54
